start	end	text
0	2160	Luke 21
2160	7440	Jesus looked up and saw the rich putting their gifts into the offering box.
8040	11220	And he saw a poor widow put in two small copper coins.
11820	12500	And he said,
13260	18240	Truly I tell you, this poor widow has put in more than all of them,
18960	21560	for they all contributed out of their abundance.
22480	26400	But she out of her poverty put in all she had to live on.
26400	28900	And while some were speaking of the temple,
29320	33240	how it was adorned with noble stones and offerings, he said,
34040	35700	As for these things that you see,
36360	40060	the days will come when there will not be left here one stone upon another
40060	41980	that will not be thrown down.
42740	43780	And they asked him,
44520	47320	Teacher, when will these things be?
47780	51280	And what will be the sign when these things are about to take place?
51720	52840	And he said,
53540	55540	See that you are not led astray.
55540	58080	For many will come in my name, saying,
58600	61720	I am he, and the time is at hand.
62880	64060	Do not go after them.
64640	68400	And when you hear of wars and tumults, do not be terrified,
68980	73420	for these things must first take place, but the end will not be at once.
74160	75260	Then he said to them,
76000	80040	Nation will rise against nation, and kingdom against kingdom.
80040	85340	There will be great earthquakes, and in various places famines and pestilences.
85540	88660	And there will be terrors and great signs from heaven.
89380	93860	But before all this, they will lay their hands on you and persecute you,
94380	96600	delivering you up to the synagogues and prisons,
96920	100720	and you will be brought before kings and governors for my name's sake.
101500	104600	This will be your opportunity to bear witness.
106100	110460	Settle it therefore in your minds, not to meditate beforehand how to answer.
111020	113080	For I will give you a mouth and wisdom,
113080	115520	which none of your adversaries will be able to hear.
115540	116980	You will not be able to withstand or contradict.
117860	120780	You will be delivered up even by parents and brothers,
121140	125100	and relatives and friends, and some of you they will put to death.
125780	128260	You will be hated by all for my name's sake,
128640	130900	but not a hair of your head will perish.
131620	134780	By your endurance you will gain your lives.
136100	139540	But when you see Jerusalem surrounded by armies,
139960	142300	then know that its desolation has come near.
142760	145520	Then let those who are in Judea flee to the mountains,
145540	148540	and let those who are inside the city depart,
149020	151780	and let not those who are out in the country enter it.
152280	156440	For these are days of vengeance to fulfill all that is written.
157780	159680	Alas for women who are pregnant,
160040	162820	and for those who are nursing infants in those days!
163360	165560	For there will be great distress upon the earth,
165740	167440	and wrath against this people.
168040	170080	They will fall by the edge of the sword,
170300	172420	and be led captive among all nations.
173020	175440	And Jerusalem will be trampled underfoot,
175800	179660	by the Gentiles, until the times of the Gentiles are fulfilled.
181020	184420	And there will be signs in sun, and moon, and stars,
184840	188040	and on the earth distress of nations in perplexity,
188400	191300	because of the roaring of the sea and the waves,
191960	196300	people fainting with fear and with foreboding of what is coming on the world.
196900	199360	For the powers of the heavens will be shaken,
199360	205360	and then they will see the Son of Man coming in a cloud with power and great glory,
205540	206380	and then they will see the Son of Man coming in a cloud with power and great glory.
206380	208740	Now when these things begin to take place,
209300	211480	straighten up and raise your heads,
211900	214600	because your redemption is drawing near.
215680	217300	And he told them a parable.
217800	220680	Look at the fig tree and all the trees.
221320	222760	As soon as they come out in leaf,
223280	226560	you see for yourselves and know that the summer is already near.
227140	230180	So also when you see these things taking place,
230760	233080	you know that the kingdom of God is near.
233980	235200	Truly I say to you,
235540	239560	this generation will not pass away until all has taken place.
240240	241780	Heaven and earth will pass away,
242260	244380	but my words will not pass away.
245640	246940	But watch yourselves,
247440	250660	lest your hearts be weighed down with dissipation and drunkenness
250660	252360	and cares of this life,
252800	255760	and that day come upon you suddenly like a trap.
256100	259820	For it will come upon all who dwell on the face of the whole earth.
260360	262460	But stay awake at all times,
262980	265100	praying that you may have strength to escape
265100	267460	all these things that are going to take place,
267880	270520	and to stand before the Son of Man.
271520	274000	And every day he was teaching in the temple,
274380	277980	but at night he went out and lodged on the mount called Olivet.
278580	282800	And early in the morning all the people came to him in the temple to hear him.
