start	end	text
0	2660	San Marcos, Kapitulo 15
30000	59980	Kapitulo 15
60000	89980	Kapitulo 15
90000	119980	Kapitulo 15
119980	120000	Kapitulo 15
120000	149980	Kapitulo 15
149980	179960	Kapitulo 15
179960	209940	Kapitulo 15
209940	239920	Kapitulo 15
239920	269900	Kapitulo 15
269900	299880	Kapitulo 15
299900	329880	Kapitulo 15
329900	330840	Aguray kayo.
331640	332240	Kino na na?
332900	337440	Kitaan tayo man, no umay ni Elias ang mangyibaba kin kuha na iti krus.
338260	342620	Nagikis ni Jesus itinapigsa, ket nauyusin ti byagna.
343380	346860	Napigis ti kortina, anaybangbang iti templo.
347600	350760	Nagodwa manipod iti ngato, aginga iti baba.
351760	356600	Iti sangwanan ti krus, at daang agtak-takder ti kapitan dagiti soldado,
357240	359820	na imatangan na ti panakatay ni Jesus.
360620	363700	Puno kayang nga anak ti Diyos, datoy atao.
364440	365040	Kino na na?
365700	370900	Iti pangaday wen basit, at damit babae amang guybuya iti mapaspasamag.
371160	373680	At da ka dagitoy na Maria Magdalena,
374220	378900	kensa no me, keni Maria nga ina daw si kensan tiyagong ng ubing.
379760	383060	Si mursurot da kene Jesus iti at da ijay Galilya,
383640	385460	ket nagsirsirbida ken kuwana.
386320	388900	Adu pay dagiti sabsabali a babae nga at dasadyay,
389900	392660	akimuyog ken kuwana idinapan ijay Jerusalem.
394620	398380	Dandanin sumipngit ididumteng ni Jose at aga Arimatea,
399160	401640	may sa amadaydayaw akaming tisanhedrin.
402640	405260	Makipaspasungad met itipagaryan ti Diyos.
405940	408180	Agsipod taal daw apanagsagana idi,
408860	409820	kayat na asawen,
410600	412340	aldaw sakbay ti panaginana.
413020	415580	Si tutured ni Jose anapan ken ni Pilato,
416200	418320	tapnodawaten na tibangkay ni Jesus.
418700	419880	Nasdaaw ni Pilato,
419880	422520	idimaamuan na anatayin ni Jesus.
423040	424880	Inayaban na ti kapitan na gitisoldado,
426040	427740	ket sinaludsod na ken kuwana,
428300	430240	nunabayagen anatayin ni Jesus.
431080	433880	Pinatalgedan ti kapitan anatayin ni Jesus.
434860	437720	Impalubos ni Pilato nga alain ni Jose tibangkay.
438600	440920	Gimmatang ni Jose itilinen alupot,
441520	443180	imbaba na tibangkay ni Jesus,
443960	446900	binungon na itilupot ket inkabil na ititanem
446900	448260	anay kongkong itibato.
448680	449680	Kalpasan na,
449880	452120	nang itulid itidakkel abato
452120	453840	apinang serrana ititanem.
454820	457040	Si imatang idi da Maria Magdalena
457040	459000	ken Maria nga ina ni Jose,
459640	462080	nakita da tinakaitaneman ni Jesus.
