start	end	text
0	2360	Matthew 16
30000	59980	Matthew 16
60000	89980	Matthew 16
90000	119980	Matthew 16
120000	123840	You are the Christ, the Son of the living God.
124200	126040	And Jesus answered him,
126780	128900	Blessed are you, Simon Barjona,
129300	131980	for flesh and blood has not revealed this to you,
132280	133960	but my Father who is in heaven.
134320	136960	And I tell you, you are Peter,
137340	139740	and on this rock I will build my church,
140040	142680	and the gates of hell shall not prevail against it.
143360	146000	I will give you the keys of the kingdom of heaven,
146000	149160	and whatever you bind on earth shall be bound in heaven.
149160	153260	And whatever you loose on earth shall be loosed in heaven.
153740	157780	Then he strictly charged the disciples to tell no one
157780	159620	that he was the Christ.
160460	163780	From that time Jesus began to show his disciples
163780	167480	that he must go to Jerusalem and suffer many things
167480	170480	from the elders and chief priests and scribes
170480	174500	and be killed and on the third day be raised.
175180	178300	And Peter took him aside and began to rebuke him,
178300	178720	saying,
179160	181120	Far be it from you, Lord.
181660	183080	This shall never happen to you.
183800	186540	But he turned and said to Peter,
187300	189180	Get behind me, Satan.
190000	191460	You are a hindrance to me,
191860	194960	for you are not setting your mind on the things of God,
195360	196940	but on the things of man.
197620	200340	Then Jesus told his disciples,
200900	203180	If anyone would come after me,
203540	206680	let him deny himself and take up his cross and follow me.
206860	209020	For whoever would save his life,
209160	210120	will lose it.
210660	214280	But whoever loses his life for my sake will find it.
214980	216860	For what will it profit a man
216860	220060	if he gains the whole world and forfeits his soul?
221060	224780	Or what shall a man give in return for his soul?
225440	228600	For the Son of Man is going to come with his angels
228600	230520	in the glory of his Father,
230840	234760	and then he will repay each person according to what he has done.
235540	236880	Truly I say to you,
236880	238860	there are some standing here
238860	240160	who will not taste death
240160	243900	until they see the Son of Man coming in his kingdom.
