verse_id,language,audio_file_path,raw_text,normalized_text
MAT_01_01,en,audio_dataset/en/MAT_01.mp3,"The book of the genealogy of Jesus Christ, the son of David, the son of Abraham.",the book of the genealogy of jesus christ the son of david the son of abraham
MAT_01_02,en,audio_dataset/en/MAT_01.mp3,"Abraham was the father of Isaac, and Isaac the father of Jacob, and Jacob the father of Judah and his brothers,",abraham was the father of isaac and isaac the father of jacob and jacob the father of judah and his brothers
MAT_01_03,en,audio_dataset/en/MAT_01.mp3,"and Judah the father of Perez and Zerah by Tamar, and Perez the father of Hezron, and Hezron the father of Ram,",and judah the father of perez and zerah by tamar and perez the father of hezron and hezron the father of ram
MAT_01_04,en,audio_dataset/en/MAT_01.mp3,"and Ram the father of Amminadab, and Amminadab the father of Nahshon, and Nahshon the father of Salmon,",and ram the father of amminadab and amminadab the father of nahshon and nahshon the father of salmon
MAT_01_05,en,audio_dataset/en/MAT_01.mp3,"and Salmon the father of Boaz by Rahab, and Boaz the father of Obed by Ruth, and Obed the father of Jesse,",and salmon the father of boaz by rahab and boaz the father of obed by ruth and obed the father of jesse
MAT_01_06,en,audio_dataset/en/MAT_01.mp3,and Jesse the father of David the king.,and jesse the father of david the king
MAT_01_07,en,audio_dataset/en/MAT_01.mp3,"and Solomon the father of Rehoboam, and Rehoboam the father of Abijah, and Abijah the father of Asaph,",and solomon the father of rehoboam and rehoboam the father of abijah and abijah the father of asaph
MAT_01_08,en,audio_dataset/en/MAT_01.mp3,"and Asaph the father of Jehoshaphat, and Jehoshaphat the father of Joram, and Joram the father of Uzziah,",and asaph the father of jehoshaphat and jehoshaphat the father of joram and joram the father of uzziah
MAT_01_09,en,audio_dataset/en/MAT_01.mp3,"and Uzziah the father of Jotham, and Jotham the father of Ahaz, and Ahaz the father of Hezekiah,",and uzziah the father of jotham and jotham the father of ahaz and ahaz the father of hezekiah
MAT_01_10,en,audio_dataset/en/MAT_01.mp3,"and Hezekiah the father of Manasseh, and Manasseh the father of Amos, and Amos the father of Josiah,",and hezekiah the father of manasseh and manasseh the father of amos and amos the father of josiah
MAT_01_11,en,audio_dataset/en/MAT_01.mp3,"and Josiah the father of Jechoniah and his brothers, at the time of the deportation to Babylon.",and josiah the father of jechoniah and his brothers at the time of the deportation to babylon
MAT_01_12,en,audio_dataset/en/MAT_01.mp3,"And after the deportation to Babylon: Jechoniah was the father of Shealtiel, and Shealtiel the father of Zerubbabel,",and after the deportation to babylon jechoniah was the father of shealtiel and shealtiel the father of zerubbabel
MAT_01_13,en,audio_dataset/en/MAT_01.mp3,"and Zerubbabel the father of Abiud, and Abiud the father of Eliakim, and Eliakim the father of Azor,",and zerubbabel the father of abiud and abiud the father of eliakim and eliakim the father of azor
MAT_01_14,en,audio_dataset/en/MAT_01.mp3,"and Azor the father of Zadok, and Zadok the father of Achim, and Achim the father of Eliud,",and azor the father of zadok and zadok the father of achim and achim the father of eliud
MAT_01_15,en,audio_dataset/en/MAT_01.mp3,"and Eliud the father of Eleazar, and Eleazar the father of Matthan, and Matthan the father of Jacob,",and eliud the father of eleazar and eleazar the father of matthan and matthan the father of jacob
MAT_01_16,en,audio_dataset/en/MAT_01.mp3,"and Jacob the father of Joseph the husband of Mary, of whom Jesus was born, who is called Christ.",and jacob the father of joseph the husband of mary of whom jesus was born who is called christ
MAT_01_17,en,audio_dataset/en/MAT_01.mp3,"So all the generations from Abraham to David were fourteen generations, and from David to the deportation to Babylon fourteen generations, and from the deportation to Babylon to the Christ fourteen generations.",so all the generations from abraham to david were fourteen generations and from david to the deportation to babylon fourteen generations and from the deportation to babylon to the christ fourteen generations
MAT_01_18,en,audio_dataset/en/MAT_01.mp3,"Now the birth of Jesus Christ took place in this way. When his mother Mary had been betrothed to Joseph, before they came together she was found to be with child from the Holy Spirit.",now the birth of jesus christ took place in this way when his mother mary had been betrothed to joseph before they came together she was found to be with child from the holy spirit
MAT_01_19,en,audio_dataset/en/MAT_01.mp3,"And her husband Joseph, being a just man and unwilling to put her to shame, resolved to divorce her quietly.",and her husband joseph being a just man and unwilling to put her to shame resolved to divorce her quietly
MAT_01_20,en,audio_dataset/en/MAT_01.mp3,"But as he considered these things, behold, an angel of the Lord appeared to him in a dream, saying, “Joseph, son of David, do not fear to take Mary as your wife, for that which is conceived in her is from the Holy Spirit.",but as he considered these things behold an angel of the lord appeared to him in a dream saying joseph son of david do not fear to take mary as your wife for that which is conceived in her is from the holy spirit
