start	end	text
0	2800	San Lucas, Kapitulo 12
2800	7280	Aga-aribong-bong dagiti rinibribo at attao,
7800	9800	kat'uray dala abibin na deka,
10540	14420	imuna akin na sa'o ni Jesus dagiti adalan na, kinunana.
15080	18260	Annadanyo tilibadura dagiti fariseyo.
19540	22900	Kayat ko asawen, tipanagin si Singpidda.
24180	27480	Awan tinailimang adinto maiparangarang.
27480	31660	Kayat awan metipalimad adinto mailatak.
33040	37420	Itikasta, tiyanyaman anasaoyo itikasipngatan.
38760	40500	Manggagto itilawag.
41700	45800	Kayat amin nga inyarasaasyo kadagiti siririkap asilid,
47200	51820	maipukkawto, manipod itutokto dagiti palbalay.
52580	55040	Ibagak kada kayo, gagayim ko.
55680	57040	Di kay agbutin.
57480	59540	Ang kadagitimang papatay itibagi,
60420	63640	ngayong awanan tindakdakis ang mabalinda nga aramiden.
64940	67700	Ipakaamukkada kayo tirumbang apagbutngan.
69560	71160	Agbutin kayo iti, Diyos,
71840	75940	ngada pannakabalin na amang itapwak itibagi ija infyerno,
76640	78740	kalpasan tipanang papatay na.
80240	82480	Uwan, patsyendak.
83760	85320	Iso, tipagbutngan niyo.
85320	86880	Saan aya?
86880	90200	Saan ang malako iti dua sentimo at lima asal la pingaw?
91480	92300	Nupay kasta.
93780	98200	Saan ang malipatan ni Diyos at uray may salaang asal la pingaw?
99280	100880	Uray dagitibuokyo.
101880	103160	Nabilang daamin.
104620	106720	Isotga po na adi kay agbutin,
107420	109220	tanapat patag kayo nga dayo,
109780	111920	ngam tiado asal la pingaw.
112680	113840	Ibagak kada kayo.
114320	116840	Di mang ipakaamukadagit itatay.
117400	119180	Iti pannakikadwa na kanyak.
120440	125780	Kastan tumit ti aramidin ti anak ti tao iti imatang dagiti anghiles ti Diyos.
127220	131680	Ngam, di mang ilibak kada gititat tao iti pannakikadwa na kanyak.
132780	136760	Ilibak tumit ti anak ti tao kada gitit anghiles ti Diyos.
137580	142240	Mapakawan to ti siya sinuman nga agsao iti maibusur iti anak ti tao.
143160	145820	Ngam din to mapakawan ti agsao.
145820	149080	Iti maibusur iti Espiritu Santo.
149860	152520	No ipanda kayo kada gitit sinagoga,
153020	154100	apakausigan nyo.
154760	157520	Wen no isaklang da kayo kada gitit gobernador,
157980	159120	wen no agtuturay.
160240	164340	Di yon to pakadanagan ti panang salaknibyo kada gitit bagbagiyo,
164980	166740	wen no anyan to ti sawen nyo.
167400	168880	Ta iti day tanga oras,
170420	172980	isuro na kayo to ti Espiritu Santo,
172980	175480	iti tumutop asawen nyo.
175820	178920	Adam ay sa alalaki anay talaong sadyay.
179600	180160	Maestro,
180960	182180	kinunanakin ni Jesus.
183180	185300	Ibagam man itikabsat ko alalaki,
185840	188720	abingayan natin sa nikwa at tinawid mi iti day di amami.
189440	190080	Gayem,
190920	192180	insungbat ni Jesus.
193140	196960	Siya sino ay atin ang tadkanyak itikalintagan amang ngedang,
197800	199980	wen no mang bingay ititawid yung agkabsat.
201160	203440	Intuloy na akinuna kadakwada amin.
203980	204860	Kitaan nyo,
204860	208860	kit aganad kay iti amin akita tiki na agom.
209860	211100	Tatipod no abyag,
211860	212440	titao,
213060	215080	saan amaibatay iti sanikwa,
216000	218020	uray no kasano tiki na baknang na.
218700	220860	Sinarita na kadakwada day tuwi apang ngari.
221900	224900	At day di baknang anawadwad ti apit na.
226580	227980	Kinunan na iti bagina.
229580	231040	Anya nga tati aramidek.
231900	234840	Awan umanay apagipampanak iti,
234860	235860	itiapit ko.
236860	237360	Ah,
238200	239200	amuon.
240200	241200	Day to iti aramidek.
242860	245100	Rakrakag to dagiti sarusarko.
246100	250860	Kit mang bangunak to kadagiti dagdadakkal apagipampanan itiapit ko,
251360	252860	ken dagduma asalikwa.
254360	255860	Kit kunak to iti bagik.
257360	258860	Naggasat kan bagi,
259860	262860	taad na amin amasapol mo iti adu atawen.
262860	264860	Aginan na ka.
265860	266860	Mangan ka.
267360	268360	Uminom ka.
268860	270360	Kit agragsak ka.
270860	273360	Ngiyem kinunati Diyos ken kuwana.
274360	275360	Maag.
276360	277860	Itamit la arabi'i.
278860	279860	Matay ka.
280360	282360	Kit amin dagitoy nga urnong mo.
283360	285360	Sa sinon to tiagtagikwa?
285860	287360	Kit ingibos ni Jesus.
