start	end	text
0	3520	San Mateo, Kapitulo 28
3520	7080	Kalpasan ti Aldawa panaginana,
7760	10620	idipumarbangon iti umunang Aldaw Tilawas,
11220	13200	na pankinita ni Maria Magdalena
13200	14660	kinti sa bali ang Maria
14660	16540	tinakaitaniman ni Jesus.
17480	18240	Pagamuan,
18700	20360	nagginginid itinapiksa,
21060	22700	bimabati may sanganghel
22700	24300	ti apo manipudlangit.
24980	26280	Tinulid na ti batoan
26280	27460	ay siray ititanem
27460	28960	sana nagtugawan.
28960	31360	Maka purar akas lakimat
31360	32020	ti langana
32020	33820	kin nakapudpudaw
33820	34800	ti pagananay na.
35420	37400	Nagtigirger dagiti kwardya
37400	38840	gapuiti butenda
38840	40820	kit kaslanatay ti langada.
41620	42760	Nagsauti anghel
42760	43780	kadagiti babay.
44460	45760	Di kay agbuteng.
46460	47060	Kinunana.
47840	48380	Amo,
48580	50060	asap sa polonyo ni Jesus
50060	51620	ana ilansa iti kros.
52500	53560	Awan dito yun.
54520	55220	Nagungaren
55220	56560	kas iti kinunana.
57220	58700	Umayo kitaen
58700	59500	ti lugar
59500	60340	anagidaan na.
61180	61980	Kalpasan na
61980	63860	inkay ipakaam mo
63860	64460	adagos
64460	65820	kadagiti adalan na
65820	66680	at nagungaren.
67720	68640	Umununan to
68640	69540	ngamda kayo
69540	70900	amapan ijay
70900	71540	galilya.
72580	73880	Makita yun to sa jay.
74820	75680	Tandaanan nyo
75680	76300	da ito'y
76300	77460	imbagak kada kayo.
78160	79160	Nagdardaras da
79160	80520	apimanaw ititanem
80520	82440	nupay sibubuting da
82440	84500	napnguan da itirago
84500	86320	kaya't nagtartaray da
86320	87620	anapan ng ipakaam mo
87620	88220	itidamag
88220	88680	kadagiti adalaman.
88700	90660	Pagamuan
90660	92440	sinabat ida ni Jesus
92440	94340	kit kinablaawan na ida.
95020	96380	Imasidig da kinkwana
96380	97740	kit inarakop da
97740	99100	dagiti saka na
99100	100700	sada nagdaydayaw kinkwana.
102060	103160	Di kayagbuteng.
103960	105120	Kinunan ni Jesus
105120	107120	inkay ibagahak
107120	108320	kadagiti kakabsat ko
108320	110560	amapanda iti galilya
110560	112880	kit makita dakto sa jay.
114880	115880	Kabayatan na
115880	116700	itinakapanawin
116700	117700	dagiti babae
118700	119980	na pan iti syudad
119980	120840	ti sumagmamano
120840	122040	kadagiti soldado
122040	123660	anag gwardya ititanem
123660	125340	kit impadamag da
125340	126420	kadagiti pangulwen
126420	127080	apapadi
127080	128640	ti amin na napasamak
128640	130860	nakiuman dagiti pangulwen
130860	131500	apapadi
131500	132760	kadagiti panglakayen.
133520	135160	Kalpasan ti panagtutulag da
135160	137480	inikanda dagiti soldado
137480	138780	iti aduwa kuwarta
138780	140320	sa naimpilin.
141040	142800	Ibagayo kadagiti tattao
142800	144360	nga imay dagiti adalan na
144360	145140	itirabi i
145140	146120	katinakaw da
146120	147000	iti bangkay na
147000	148420	idi matmaturo kayo.
148700	150080	Numaamuan da ito
150080	151000	iti gobernador
151000	153280	dakamto iti makisarita
153280	154700	kinkwana tapnoawan
154700	155860	iti pakaano-anoan nyo.
156560	157300	Itikasta,
157940	159360	inala dagiti gwardya
159360	160000	ti kuwarta
160000	161560	kit inaramida
161560	162460	tinaibagang
162460	163340	nga aramidin da.
164040	165120	Da ito iti damag
165120	166780	anagwaras kadagiti hudyo
166780	168920	agpapan kadagitoing aldaw.
169660	170960	Napandagiti sangapulo
170960	172260	kit may sangadalan
172260	174060	itibantay iti galilya
174060	175680	nga imbaga ni Jesus
175680	176540	apapananda.
176540	178540	Idi makita da ni Jesus
178700	180500	nagdaydayo da
180500	181180	kinkwana
181180	183220	numumpay nagduwa-duwa
183220	184080	iti sumagmamanu
184080	184720	kadakwada
184720	186600	immasidig na Jesus
186600	187760	kit kinunana.
188560	189660	Naitad kanyak
189660	190380	ti amin
190380	191460	apan nakabalin
191460	192280	iti langit
192280	193420	kyan dito'y daga.
194220	195000	Inkay ngarod
195000	196020	kadagiti amin
196020	196800	at tattao
196800	198000	iti amin alugar
198000	200040	kit pagbalinin nyo
200040	201040	ita nga adala.
202120	203340	Bunyagan nyo ita
203340	204440	itinagan ti ama
204440	205700	ti anak
205700	207940	kyan ti Espiritu Santo.
208700	209700	Kyan isuro yung
209700	210700	itangagtong pal
210700	211740	kadagiti amin
211740	212680	nga inbilin ko
212680	213240	kadakayo.
214080	215000	Laglagipan nyo
215000	216800	nga at taaktong
216800	217560	agnanayon
217560	218120	kadakayo
218120	219420	aging ga
219420	221140	itipanong palan
221140	221980	tilubong.
