start	end	text
360	7620	Mark. Mark 1. The beginning of the gospel of Jesus Christ, the Son of God.
8260	10260	As it is written in Isaiah the prophet,
11200	16240	Behold, I send my messenger before your face, who will prepare your way,
16640	22680	the voice of one crying in the wilderness. Prepare the way of the Lord, make his path straight.
23420	28040	John appeared, baptizing in the wilderness and proclaiming a baptism of repentance
28040	34500	for the forgiveness of sins. And all the country of Judea and all Jerusalem were going out to him
34500	38620	and were being baptized by him in the river Jordan, confessing their sins.
39300	44680	Now John was clothed with camel's hair and wore a leather belt around his waist and ate locusts
44680	51020	and wild honey. And he preached, saying, After me comes he who is mightier than I,
51460	57680	the strap of whose sandals I am not worthy to stoop down and untie. I have baptized you with
57680	58020	water.
58040	61320	But he will baptize you with the Holy Spirit.
63500	69540	In those days Jesus came from Nazareth of Galilee and was baptized by John in the Jordan.
70160	75360	And when he came up out of the water, immediately he saw the heavens being torn open
75360	80780	and the Spirit descending on him like a dove. And a voice came from heaven.
81220	86260	You are my beloved Son. With you I am well pleased.
87220	88020	The Spirit came from heaven and said,
88040	93380	And the Spirit immediately drove him out into the wilderness. And he was in the wilderness forty
93380	100340	days being tempted by Satan. And he was with the wild animals, and the angels were ministering to
100340	107840	him. Now after John was arrested, Jesus came into Galilee, proclaiming the gospel of God and saying,
108700	115820	The time is fulfilled, and the kingdom of God is at hand. Repent and believe in the gospel.
116620	118020	Passing alongside the Spirit, John was baptized with the Holy Spirit, and he was baptized with the
118020	128360	Holy Spirit.
142280	142400	And he was in God's presence.
142640	143280	And he was in the created one.
143280	144060	In the begotten town, them, who were in the kingdom of God, he was called, and,
144060	144440	he called them, and brought them to a ship, and they left their son in the ship.
144440	144500	And Moses went away from them, and left them too far away.
144500	147660	And immediately they left their father Zebedee in the boat with the hired servants,
147660	148700	and followed him.
150360	152180	And they went into Capernaum,
152320	153720	and immediately on the Sabbath
153720	155840	he entered the synagogue and was teaching.
156400	158660	And they were astonished at his teaching,
158900	161140	for he taught them as one who had authority
161140	162820	and not as the scribes.
163460	165320	And immediately there was in their synagogue
165320	167300	a man with an unclean spirit,
167520	168800	and he cried out,
169300	173840	What have you to do with us, Jesus of Nazareth?
174520	176980	Have you come to destroy us?
176980	179600	I know who you are,
179800	182220	the Holy One of God.
183120	185120	But Jesus rebuked him, saying,
185800	188160	Be silent, and come out of him.
188820	191220	And the unclean spirit convulsing him
191220	193580	and crying out with a loud voice came out of him.
193680	195740	And they were all amazed,
195940	198360	so that they questioned among themselves, saying,
198900	201780	What is this, a new teaching with authority?
202540	205000	He commands even the unclean spirits,
205000	206960	and they obey him.
207740	210180	And at once his fame spread everywhere
210180	212800	throughout all the surrounding region of Galilee.
213940	215820	And immediately he left the synagogue
215820	218240	and entered the house of Simon and Andrew
218240	219440	with James and John.
220200	222840	Now Simon's mother-in-law lay ill with a fever,
223060	225120	and immediately they told him about her.
225460	227680	And he came and took her by the hand
227680	230220	and lifted her up, and the fever left her,
230480	231860	and she began to serve them.
232720	234240	That evening at sundown
234240	236020	they brought to him all who were sick
236020	237260	or oppressed by demons.
237660	240540	And the whole city was gathered together at the door.
240840	243460	And he healed many who were sick with various diseases
243460	245200	and cast out many demons.
246020	248640	And he would not permit the demons to speak
248640	249960	because they knew him.
251640	253880	And rising very early in the morning
253880	255220	while it was still dark,
255600	258060	he departed and went out to a desolate place,
258260	259440	and there he prayed.
260340	262780	And Simon and those who were with him searched for him,
262780	264480	and they found him and said to him,
264480	268640	And he said to them,
269040	270980	Let us go on to the next towns,
271180	272660	that I may preach there also,
273200	274640	for that is why I came out.
275380	277060	And he went throughout all Galilee,
277300	279560	preaching in their synagogues and casting out demons.
280460	281940	And a leper came to him,
282140	284520	imploring him and kneeling, said to him,
285320	289120	If you will, you can make me clean.
290020	292760	Moved with pity, he stretched out his hand
292760	294460	and touched him and said to him,
294480	297300	I will, be clean.
298120	300340	And immediately the leprosy left him,
300600	301820	and he was made clean.
302560	305620	And Jesus sternly charged him and sent him away at once,
305880	306640	and said to him,
307340	308960	See that you say nothing to anyone,
309380	311640	but go, show yourself to the priest,
311900	314260	and offer for your cleansing what Moses commanded,
314740	315700	for a proof to them.
316400	319040	But he went out and began to talk freely about it,
319200	320380	and to spread the news,
320500	323280	so that Jesus could no longer openly enter a town,
323280	324460	but was out in the city,
324620	325360	in desolate places,
325640	328140	and people were coming to him from every quarter.
328140	330140	The End
